case_id,accepted_name,query,rank,candidate,slot_id,score,rank_score,bm25_score,vector_score
eval_019,인지장애,잠을 못 자요 잠을 잘 수 없습니다,3,천식,symptom:6a75325fe5,0.604,0.7521,0.7037,0.1033
eval_020,기침,기침이 계속되는데 기침이 계속됩니다,1,기침,cough,0.9,1.5649,0.6141,0.3204
eval_020,기침,기침이 계속되는데 기침이 계속됩니다,2,가슴 답답,chest_discomfort,0.8249,0.7281,1.0,0.147
eval_020,기침,기침이 계속되는데 기침이 계속됩니다,3,검은색 가래,symptom:c9b9036b3a,0.598,0.644,0.2572,0.2336
eval_022,콧물,맑은 콧물이 줄줄 나고 맑은 콧물이 줄줄 나옵니다,1,콧물,rhinorrhea,0.9,1.4382,0.252,0.3108
eval_022,콧물,맑은 콧물이 줄줄 나고 맑은 콧물이 줄줄 나옵니다,2,재채기,symptom:f0ff1b70a5,0.9041,0.8367,1.0,0.1944
eval_022,콧물,맑은 콧물이 줄줄 나고 맑은 콧물이 줄줄 나옵니다,3,코막힘,nasal_obstruction,0.4277,0.4756,0.1469,0.1646
eval_022,코막힘,코도 막혀요 코가 막혀 있습니다,1,코막힘,nasal_obstruction,1.0,1.7,1.0,0.3846
eval_022,코막힘,코도 막혀요 코가 막혀 있습니다,2,콧물,rhinorrhea,0.5597,0.5136,0.3367,0.1868
eval_022,코막힘,코도 막혀요 코가 막혀 있습니다,3,빈호흡,symptom:e3fb3f1d30,0.463,0.4441,0.1543,0.1835
eval_023,눈이 무거운 느낌,눈이 무겁고 침침해서 눈이 무겁고 침침합니다,1,눈이 무거운 느낌,symptom:b3dcf8a9c5,0.9915,1.0415,0.823,0.4123
eval_023,눈이 무거운 느낌,눈이 무겁고 침침해서 눈이 무겁고 침침합니다,2,구토,symptom:29fe75f845,0.5746,0.5139,0.2693,0.2159
eval_023,눈이 무거운 느낌,눈이 무겁고 침침해서 눈이 무겁고 침침합니다,3,기침,cough,0.5673,0.5105,0.2416,0.2199
eval_025,가슴 답답,숨 쉴 때마다 가슴 한쪽이 결려요 숨을 쉴 때마다 가슴 한쪽이 결립니다,1,가슴 답답,chest_discomfort,0.9039,1.7,1.0,0.2423
eval_025,가슴 답답,숨 쉴 때마다 가슴 한쪽이 결려요 숨을 쉴 때마다 가슴 한쪽이 결립니다,2,함몰가슴,symptom:9d31f655f3,0.7179,0.7872,0.7255,0.1651
eval_025,가슴 답답,숨 쉴 때마다 가슴 한쪽이 결려요 숨을 쉴 때마다 가슴 한쪽이 결립니다,3,가슴 두근거림,symptom:30c9328237,0.6789,0.7067,0.7622,0.1307
eval_026,삼키기 곤란,배가 살살 아파서 배가 살살 아픕니다,1,삼키기 곤란,dysphagia,0.2874,0.6697,0.0563,0.1556
eval_026,삼키기 곤란,배가 살살 아파서 배가 살살 아픕니다,2,저산소증,symptom:b3d40f3209,0.3204,0.6138,0.0762,0.1214
eval_026,삼키기 곤란,배가 살살 아파서 배가 살살 아픕니다,3,서맥,symptom:8915f77f38,0.2548,0.5848,0.0597,0.135
eval_027,가슴 답답,가슴이 답답하고 가슴이 답답합니다,1,가슴 답답,chest_discomfort,1.0,1.7,1.0,0.6605
eval_027,가슴 답답,가슴이 답답하고 가슴이 답답합니다,2,함몰가슴,symptom:9d31f655f3,0.4849,0.3472,0.2015,0.1825
eval_027,가슴 답답,가슴이 답답하고 가슴이 답답합니다,3,가슴 두근거림,symptom:30c9328237,0.4713,0.337,0.2102,0.1717
eval_027,가슴 답답,뭐가 꽉 누르는 것 같아요 가슴에 압박감이 있습니다,1,가슴 답답,chest_discomfort,0.9,1.5929,0.6941,0.3395
eval_027,가슴 답답,뭐가 꽉 누르는 것 같아요 가슴에 압박감이 있습니다,2,흉부압박감,symptom:3da5ddf893,0.7953,0.704,1.0,0.1292
eval_027,가슴 답답,뭐가 꽉 누르는 것 같아요 가슴에 압박감이 있습니다,3,삼키기 곤란,dysphagia,0.6326,0.6227,0.4102,0.2085
eval_028,코막힘,코가 꽉 맥혀서 코가 꽉 막혀 있습니다,1,코막힘,nasal_obstruction,1.0,1.7,1.0,0.3775
eval_028,코막힘,코가 꽉 맥혀서 코가 꽉 막혀 있습니다,2,마찰음,symptom:16666ae9ec,0.5404,0.5107,0.2137,0.2121
eval_028,코막힘,코가 꽉 맥혀서 코가 꽉 막혀 있습니다,3,콧물,rhinorrhea,0.5066,0.452,0.3367,0.155
eval_029,온몸이 떨림,온몸이 쑤시고 온몸이 쑤십니다,1,온몸이 떨림,symptom:57ad1f5606,1.0,1.1141,1.0,0.2566
eval_029,온몸이 떨림,온몸이 쑤시고 온몸이 쑤십니다,2,코막힘,nasal_obstruction,0.4174,0.6272,0.0098,0.2475
eval_029,온몸이 떨림,온몸이 쑤시고 온몸이 쑤십니다,3,식욕부진,symptom:8678ac0397,0.3959,0.5908,0.0082,0.2351
eval_029,기운없음,결려서 몸살 난 것 같아요 몸살이 난 것 같습니다,1,기운없음,symptom:3a6b475b6a,0.9,1.1052,0.0,0.1404
eval_029,기운없음,결려서 몸살 난 것 같아요 몸살이 난 것 같습니다,2,코막힘,nasal_obstruction,0.8592,1.0315,0.8616,0.209
eval_029,기운없음,결려서 몸살 난 것 같아요 몸살이 난 것 같습니다,3,콧물,rhinorrhea,0.676,0.8762,0.5328,0.1977
eval_030,호흡곤란,숨찬 게 데우 안 나아져요 호흡곤란이 여전합니다,1,호흡곤란,dyspnea,1.0,1.7,1.0,0.3572
eval_030,호흡곤란,숨찬 게 데우 안 나아져요 호흡곤란이 여전합니다,2,운동 시 호흡곤란,symptom:a243309094,0.9433,0.8974,0.8596,0.2601
eval_030,호흡곤란,숨찬 게 데우 안 나아져요 호흡곤란이 여전합니다,3,불안,symptom:31e7e68566,0.8617,0.8303,0.5634,0.304
eval_031,기침,기침이 안 떨어져요 기침이 여전히 지속되고 있습니다,1,기침,cough,0.9,1.567,0.6199,0.2891
eval_031,기침,기침이 안 떨어져요 기침이 여전히 지속되고 있습니다,2,구토,symptom:29fe75f845,0.7164,0.6617,0.8532,0.1259
eval_031,기침,기침이 안 떨어져요 기침이 여전히 지속되고 있습니다,3,가슴 답답,chest_discomfort,0.6704,0.6427,0.7204,0.1381
eval_032,온몸이 떨림,온몸이 쑤시고 결리는 건 남았어요 온몸이 쑤시고 결리는 느낌이 남아 있습니다,1,온몸이 떨림,symptom:57ad1f5606,0.7979,0.7009,1.0,0.1787
eval_032,온몸이 떨림,온몸이 쑤시고 결리는 건 남았어요 온몸이 쑤시고 결리는 느낌이 남아 있습니다,2,코막힘,nasal_obstruction,0.5306,0.6714,0.0612,0.3322
eval_032,온몸이 떨림,온몸이 쑤시고 결리는 건 남았어요 온몸이 쑤시고 결리는 느낌이 남아 있습니다,3,빈호흡,symptom:e3fb3f1d30,0.5446,0.595,0.0972,0.2496
eval_033,복벽이 움푹 들어감,한기가 들어서 이불을 덮어도 춥드래요 한기가 들어 이불을 덮어도 춥습니다,1,복벽이 움푹 들어감,symptom:4b1674fb28,0.8952,1.0878,1.0,0.1891
eval_033,복벽이 움푹 들어감,한기가 들어서 이불을 덮어도 춥드래요 한기가 들어 이불을 덮어도 춥습니다,2,기운없음,symptom:3a6b475b6a,0.9,1.0792,0.0,0.1103
eval_033,복벽이 움푹 들어감,한기가 들어서 이불을 덮어도 춥드래요 한기가 들어 이불을 덮어도 춥습니다,3,객혈,hemoptysis,0.2372,0.4716,0.0259,0.1346
eval_035,가슴 두근거림,인제 두근거리는 게 데우 심해요 가슴 두근거림이 더 심해졌습니다,1,가슴 두근거림,symptom:30c9328237,1.0,1.275,1.0,0.3243
eval_035,가슴 두근거림,인제 두근거리는 게 데우 심해요 가슴 두근거림이 더 심해졌습니다,2,가슴 답답,chest_discomfort,0.9,1.2169,0.1417,0.2332
eval_035,가슴 두근거림,인제 두근거리는 게 데우 심해요 가슴 두근거림이 더 심해졌습니다,3,삼키기 곤란,dysphagia,0.4687,0.5198,0.1102,0.2001
eval_036,체중감소,전보다 살이 마이 빠진 거 같애요 전보다 체중이 감소한 것 같습니다,1,체중감소,symptom:ed4d516e68,0.9056,1.275,1.0,0.1953
eval_036,체중감소,전보다 살이 마이 빠진 거 같애요 전보다 체중이 감소한 것 같습니다,2,식욕부진,symptom:8678ac0397,0.6101,0.7807,0.5367,0.1571
eval_036,체중감소,전보다 살이 마이 빠진 거 같애요 전보다 체중이 감소한 것 같습니다,3,마찰음,symptom:16666ae9ec,0.4725,0.723,0.2082,0.1731
eval_037,가래,가래가 아직 끓어요 가래가 아직 남아 있습니다,1,가래,sputum,1.0,1.7,1.0,0.3953
eval_037,가래,가래가 아직 끓어요 가래가 아직 남아 있습니다,2,검은색 가래,symptom:c9b9036b3a,1.0,0.9749,0.8704,0.3508
eval_037,가래,가래가 아직 끓어요 가래가 아직 남아 있습니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.8083,0.741,0.483,0.2921
eval_038,기침,기침은 안주 나와요 기침이 계속 납니다,1,기침,cough,0.9098,1.6369,0.8196,0.3901
eval_038,기침,기침은 안주 나와요 기침이 계속 납니다,2,검은색 가래,symptom:c9b9036b3a,0.7085,0.6713,0.257,0.3009
eval_038,기침,기침은 안주 나와요 기침이 계속 납니다,3,가래,sputum,0.7431,0.6566,0.5754,0.2252
eval_039,코막힘,코만 꽉 맥혀요 코가 꽉 막혀 있습니다,1,코막힘,nasal_obstruction,1.0,1.7,1.0,0.3775
eval_039,코막힘,코만 꽉 맥혀요 코가 꽉 막혀 있습니다,2,마찰음,symptom:16666ae9ec,0.5404,0.5107,0.2137,0.2121
eval_039,코막힘,코만 꽉 맥혀요 코가 꽉 막혀 있습니다,3,콧물,rhinorrhea,0.5066,0.452,0.3367,0.155
eval_040,어지러움,자꾸 어지러워요 자꾸 어지러움이 있습니다,1,어지러움,symptom:9e9c6673c9,1.0,1.7,1.0,0.381
eval_040,어지러움,자꾸 어지러워요 자꾸 어지러움이 있습니다,2,반복되는 폐렴,symptom:ade69fdbb3,0.4139,0.4025,0.1194,0.1645
eval_040,어지러움,자꾸 어지러워요 자꾸 어지러움이 있습니다,3,가래,sputum,0.3996,0.3982,0.0551,0.1752
eval_041,가슴 답답,심장이 너무 빨리 뛰고 심장이 너무 빨리 뛰고 있습니다,1,가슴 답답,chest_discomfort,0.9,1.2482,0.026,0.1366
eval_041,가슴 답답,심장이 너무 빨리 뛰고 심장이 너무 빨리 뛰고 있습니다,2,부정맥,symptom:bcde07d1e3,0.7675,0.8739,1.0,0.1125
eval_041,가슴 답답,심장이 너무 빨리 뛰고 심장이 너무 빨리 뛰고 있습니다,3,청색증,symptom:2255dfd144,0.5941,0.8423,0.5456,0.1448
eval_041,불안,괜히 불안해요 불안감이 있습니다,1,불안,symptom:31e7e68566,0.8745,1.1871,1.0,0.1767
eval_041,불안,괜히 불안해요 불안감이 있습니다,2,권태감,symptom:31a60ea1ae,0.5041,0.7885,0.1671,0.2043
eval_041,불안,괜히 불안해요 불안감이 있습니다,3,빈호흡,symptom:e3fb3f1d30,0.4113,0.6971,0.1455,0.2031
eval_042,목소리 변화,목소리가 안 돌아오드래요 목소리가 돌아오지 않습니다,1,목소리 변화,voice_change,1.0,1.275,1.0,0.5978
eval_042,목소리 변화,목소리가 안 돌아오드래요 목소리가 돌아오지 않습니다,2,목의 통증,sore_throat,0.9,0.7384,0.0,0.0438
eval_042,목소리 변화,목소리가 안 돌아오드래요 목소리가 돌아오지 않습니다,3,천명음,wheezing,0.5959,0.413,0.0317,0.3006
eval_044,기침,기침은 아직 그대로예요 기침이 아직 그대로 지속되고 있습니다,1,기침,cough,0.9,1.567,0.6199,0.2683
eval_044,기침,기침은 아직 그대로예요 기침이 아직 그대로 지속되고 있습니다,2,가슴 답답,chest_discomfort,0.6828,0.6848,0.7204,0.1456
eval_044,기침,기침은 아직 그대로예요 기침이 아직 그대로 지속되고 있습니다,3,구토,symptom:29fe75f845,0.7107,0.6754,0.8532,0.1225
eval_045,목의 통증,목이 칼칼하고 목이 칼칼합니다,1,목의 통증,sore_throat,0.9,1.35,0.0,0.1333
eval_045,목의 통증,목이 칼칼하고 목이 칼칼합니다,2,코막힘,nasal_obstruction,0.7931,1.0534,1.0,0.1278
eval_045,목의 통증,목이 칼칼하고 목이 칼칼합니다,3,천식,symptom:6a75325fe5,0.4336,0.7872,0.2942,0.1239
eval_045,목의 통증,부은 것처럼 아프드래요 목이 부은 것처럼 아프다고 말했습니다,1,목의 통증,sore_throat,0.9,1.35,0.0,0.2777
eval_045,목의 통증,부은 것처럼 아프드래요 목이 부은 것처럼 아프다고 말했습니다,2,코막힘,nasal_obstruction,0.7307,0.8491,0.4047,0.269
eval_045,목의 통증,부은 것처럼 아프드래요 목이 부은 것처럼 아프다고 말했습니다,3,가슴 답답,chest_discomfort,0.8438,0.7702,1.0,0.1583
eval_046,가슴 답답,가슴이 두근두근 빠르게 뛰어요 가슴이 두근거리며 빠르게 뛰고 있습니다,1,가슴 답답,chest_discomfort,0.9,1.3722,0.2846,0.2903
eval_046,가슴 답답,가슴이 두근두근 빠르게 뛰어요 가슴이 두근거리며 빠르게 뛰고 있습니다,2,가슴 두근거림,symptom:30c9328237,1.0,1.275,1.0,0.3275
eval_046,가슴 답답,가슴이 두근두근 빠르게 뛰어요 가슴이 두근거리며 빠르게 뛰고 있습니다,3,함몰가슴,symptom:9d31f655f3,0.5105,0.5542,0.1476,0.214
eval_047,가슴 답답,가슴 답답한 건 남아 있어요 가슴이 답답합니다,1,가슴 답답,chest_discomfort,1.0,1.7,1.0,0.6938
eval_047,가슴 답답,가슴 답답한 건 남아 있어요 가슴이 답답합니다,2,함몰가슴,symptom:9d31f655f3,0.5336,0.366,0.223,0.2052
eval_047,가슴 답답,가슴 답답한 건 남아 있어요 가슴이 답답합니다,3,가슴 두근거림,symptom:30c9328237,0.5107,0.3516,0.2327,0.1886
eval_048,가래,목에 가래가 걸려서 목에 가래가 걸려 있습니다,1,가래,sputum,1.0,1.6562,1.0,0.3775
eval_048,가래,목에 가래가 걸려서 목에 가래가 걸려 있습니다,2,검은색 가래,symptom:c9b9036b3a,1.0,1.0472,0.8704,0.4048
eval_048,가래,목에 가래가 걸려서 목에 가래가 걸려 있습니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.8215,0.7844,0.483,0.3265
eval_048,가래,뱉어도 또 생겨요 가래를 뱉어도 계속 생깁니다,1,가래,sputum,0.9783,1.6848,0.9565,0.3142
eval_048,가래,뱉어도 또 생겨요 가래를 뱉어도 계속 생깁니다,2,검은색 가래,symptom:c9b9036b3a,1.0,1.0118,1.0,0.2759
eval_048,가래,뱉어도 또 생겨요 가래를 뱉어도 계속 생깁니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.9386,0.8913,0.9765,0.2222
eval_049,객혈,하루에도 몇 번씩 무른 변을 보드래요 하루에 몇 번씩 무른 변을 보고 있습니다,1,객혈,hemoptysis,0.8123,0.7872,1.0,0.1394
eval_049,객혈,하루에도 몇 번씩 무른 변을 보드래요 하루에 몇 번씩 무른 변을 보고 있습니다,2,목소리 변화,voice_change,0.4159,0.655,0.0143,0.2453
eval_049,객혈,하루에도 몇 번씩 무른 변을 보드래요 하루에 몇 번씩 무른 변을 보고 있습니다,3,반복되는 폐렴,symptom:ade69fdbb3,0.48,0.6252,0.1881,0.1836
eval_050,코막힘,코는 안주 꽉 막혀 있어요 코가 꽉 막혀 있습니다,1,코막힘,nasal_obstruction,1.0,1.7,1.0,0.3775
eval_050,코막힘,코는 안주 꽉 막혀 있어요 코가 꽉 막혀 있습니다,2,마찰음,symptom:16666ae9ec,0.5404,0.5107,0.2137,0.2121
eval_050,코막힘,코는 안주 꽉 막혀 있어요 코가 꽉 막혀 있습니다,3,콧물,rhinorrhea,0.5066,0.452,0.3367,0.155
eval_051,콧물,손발이 마카 퉁퉁 부었어요 손발이 매우 부어오릅니다,1,콧물,rhinorrhea,0.3285,0.6649,0.0426,0.1843
eval_051,콧물,손발이 마카 퉁퉁 부었어요 손발이 매우 부어오릅니다,2,곤봉지,symptom:8436aac52b,0.3723,0.6586,0.0563,0.1585
eval_051,콧물,손발이 마카 퉁퉁 부었어요 손발이 매우 부어오릅니다,3,사지 부종,symptom:bf32e52932,0.2986,0.6318,0.0,0.1791
eval_052,호흡곤란,숨찬 건 여전해요 호흡곤란이 여전합니다,1,호흡곤란,dyspnea,1.0,1.7,1.0,0.3572
eval_052,호흡곤란,숨찬 건 여전해요 호흡곤란이 여전합니다,2,운동 시 호흡곤란,symptom:a243309094,0.9433,0.8974,0.8596,0.2601
eval_052,호흡곤란,숨찬 건 여전해요 호흡곤란이 여전합니다,3,불안,symptom:31e7e68566,0.8617,0.8303,0.5634,0.304
eval_053,기침,마른기침만 자꾸 나오드래요 마른 기침이 자꾸 나옵니다,1,기침,cough,0.9,1.4233,0.2095,0.2866
eval_053,기침,마른기침만 자꾸 나오드래요 마른 기침이 자꾸 나옵니다,2,검은색 가래,symptom:c9b9036b3a,0.7931,0.8196,0.6988,0.2183
eval_053,기침,마른기침만 자꾸 나오드래요 마른 기침이 자꾸 나옵니다,3,운동 시 호흡곤란,symptom:a243309094,0.7749,0.7728,0.7652,0.1874
eval_055,가래,전엔 없던 누런 가래가 새로 나오드래요 전에는 없던 누런 가래가 새로 나옵니다,1,가래,sputum,0.9,1.2558,0.6058,0.1529
eval_055,가래,전엔 없던 누런 가래가 새로 나오드래요 전에는 없던 누런 가래가 새로 나옵니다,2,검은색 가래,symptom:c9b9036b3a,1.0,1.0899,1.0,0.2892
eval_055,가래,전엔 없던 누런 가래가 새로 나오드래요 전에는 없던 누런 가래가 새로 나옵니다,3,거품이 섞인 가래,symptom:129b5a70ed,0.571,0.6561,0.2926,0.2068
eval_056,가슴 답답,가심 한쪽이 콕콕 찔러서 아파요 가슴의 한쪽에 찌르는 통증이 있습니다,1,가슴 답답,chest_discomfort,0.8376,0.9533,0.6097,0.2717
eval_056,가슴 답답,가심 한쪽이 콕콕 찔러서 아파요 가슴의 한쪽에 찌르는 통증이 있습니다,2,흉통,chest_pain,0.9,0.9303,0.3954,0.0384
eval_056,가슴 답답,가심 한쪽이 콕콕 찔러서 아파요 가슴의 한쪽에 찌르는 통증이 있습니다,3,가슴 두근거림,symptom:30c9328237,0.7147,0.7703,0.625,0.1933
eval_057,흉통,낮에도 땀이 줄줄 흘러서 낮에도 땀이 많이 흐릅니다,1,흉통,chest_pain,0.7382,0.9372,0.8868,0.1289
eval_057,흉통,낮에도 땀이 줄줄 흘러서 낮에도 땀이 많이 흐릅니다,2,가래,sputum,0.7452,0.9085,0.9373,0.1179
eval_057,흉통,낮에도 땀이 줄줄 흘러서 낮에도 땀이 많이 흐릅니다,3,객혈,hemoptysis,0.379,0.7584,0.0896,0.1525
eval_058,피로감,쉬어도 피곤한 건 여전해요 쉬어도 여전히 피곤합니다,1,피로감,symptom:a1e24be50f,0.9194,1.187,1.0,0.2037
eval_058,피로감,쉬어도 피곤한 건 여전해요 쉬어도 여전히 피곤합니다,2,기운없음,symptom:3a6b475b6a,0.9,0.9829,0.0,0.1032
eval_058,피로감,쉬어도 피곤한 건 여전해요 쉬어도 여전히 피곤합니다,3,운동 시 호흡곤란,symptom:a243309094,0.4233,0.6717,0.062,0.2354
eval_059,호흡곤란,숨쉬기 힘든 건 그대로예요 숨쉬기 힘든 상태가 그대로입니다,1,호흡곤란,dyspnea,1.0,1.7,1.0,0.3728
