variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
C,eval_037,negative_hit|extraction_gold_mismatch,,기침,가래,20,가래; 검은색 가래; 기침; 거품이 섞인 가래; 구토; 운동 시 호흡곤란; 화농성 객담; 결막염; 감기 증상; 빈호흡; 빈맥; 천명음; 가슴 답답; 체중감소; 객혈; 근육통; 콧물; 식욕부진; 권태감; 삼키기 곤란,기침은 멎었는데 가래가 아직 끓어요.,,있음,symptom,1,0
C,eval_038,negative_hit|extraction_gold_mismatch,,코막힘,기침,20,기침; 코막힘; 결막염; 콧물; 검은색 가래; 체중감소; 구토; 빈맥; 폐부종; 빈호흡; 가래; 식욕부진; 감기 증상; 화농성 객담; 천명음; 열; 근육통; 권태감; 오한; 객혈,코 막힌 건 풀렸는데 기침은 안주 나와요.,,있음,symptom,1,0
C,eval_039,negative_hit|extraction_gold_mismatch,,콧물,코막힘,20,콧물; 결막염; 코막힘; 재채기; 가래; 피부홍조; 삼키기 곤란; 불안; 발한; 열; 근육통; 탈장; 서맥; 흉곽 팽윤; 기침; 복벽이 움푹 들어감; 두통; 사래걸림; 빈호흡; 빈맥,콧물은 안 나는데 코만 꽉 맥혀요.,,있음,symptom,1,0
C,eval_041,partial_miss|extraction_gold_mismatch,빈맥,,불안; 빈맥,20,불안; 발한; 부정맥; 피부홍조; 탈장; 운동 시 호흡곤란; 심부전; 가슴 답답; 함몰가슴; 청색증; 구토; 호기의 증가; 두통; 사망; 오한; 권태감; 삼키기 곤란; 기침; 천명음; 말초부종,심장이 너무 빨리 뛰고 괜히 불안해요.,,있음,symptom,1,0
C,eval_042,negative_hit|extraction_gold_mismatch,,목의 통증,목소리 변화,20,목소리 변화; 가래; 가슴 답답; 콧물; 결막염; 기운없음; 사래걸림; 마찰음; 목의 통증; 호기의 증가; 근긴장의 이상; 코막힘; 거품이 섞인 가래; 화농성 객담; 열; 지남력 장애; 발한; 창백; 검은색 가래; 피부홍조,목 아픈 건 나았는데 목소리가 안 돌아오드래요.,,있음,symptom,1,0
C,eval_044,negative_hit|extraction_gold_mismatch,,열,기침,20,기침; 열; 검은색 가래; 근육통; 가래; 결막염; 화농성 객담; 천명음; 탈장; 두통; 가슴 답답; 권태감; 체중감소; 운동 시 호흡곤란; 빈호흡; 삼키기 곤란; 폐부종; 감기 증상; 구토; 콧물,지난번보다 열은 내렸는데 기침은 아직 그대로예요.,,있음,symptom,1,0
C,eval_047,negative_hit|extraction_gold_mismatch,,가래,가슴 답답,20,가슴 답답; 가래; 검은색 가래; 거품이 섞인 가래; 함몰가슴; 가슴 두근거림; 기침; 화농성 객담; 체중감소; 삼키기 곤란; 운동 시 호흡곤란; 청색증; 감기 증상; 구토; 오한; 마찰음; 반복되는 폐렴; 천명음; 저산소증; 천식,가래는 줄었는데 가슴 답답한 건 남아 있어요.,,있음,symptom,1,0
C,eval_049,miss_all_gold|extraction_gold_mismatch,설사,,설사,20,감기 증상; 무증상; 객혈; 기침; 빈혈; 사망; 수유 곤란; 체중감소; 호흡기감염; 함몰가슴; 목소리 변화; 의식 변화; 반복되는 폐렴; 심부전; 호기의 증가; 마찰음; 화농성 객담; 눈이 무거운 느낌; 청색증; 폐부종,하루에도 몇 번씩 무른 변을 보드래요.,,있음,symptom,1,0
C,eval_050,negative_hit|extraction_gold_mismatch,,콧물,코막힘,20,콧물; 결막염; 코막힘; 재채기; 두통; 열; 구토; 근육통; 피부홍조; 불안; 기침; 사망; 질식; 흉수; 사래걸림; 검은색 가래; 오한; 폐부종; 발한; 서맥,콧물은 그쳤는데 코는 안주 꽉 막혀 있어요.,,있음,symptom,1,0
C,eval_052,miss_all_gold|negative_hit|extraction_gold_mismatch,호흡곤란,코막힘,호흡곤란,20,코막힘; 질식; 콧물; 재채기; 기침; 빈호흡; 서맥; 지남력 장애; 복벽이 움푹 들어감; 기운없음; 권태감; 빈맥; 탈장; 근긴장의 이상; 화농성 객담; 결막염; 흉수; 고탄산증; 압통; 어지러움,코막힘은 풀렸는데 숨찬 건 여전해요.,,있음,symptom,1,0
C,eval_053,negative_hit|extraction_gold_mismatch,,가래,기침,20,가래; 기침; 검은색 가래; 거품이 섞인 가래; 운동 시 호흡곤란; 화농성 객담; 구토; 천명음; 객혈; 결막염; 감기 증상; 빈호흡; 가슴 답답; 빈맥; 오한; 식욕부진; 불안; 폐부종; 호흡곤란; 두통,가래는 없는데 마른기침만 자꾸 나오드래요.,,있음,symptom,1,0
C,eval_056,miss_all_gold|extraction_gold_mismatch,흉통,,흉통,20,천식; 청색증; 저산소증; 고탄산증; 말초부종; 흉곽 팽윤; 폐부종; 가슴 답답; 가래; 기침; 검은색 가래; 코막힘; 심부전; 결막염; 탈장; 반복되는 폐렴; 천명음; 어지러움; 호기의 증가; 지남력 장애,가심 한쪽이 콕콕 찔러서 아파요.,,있음,symptom,1,0
C,eval_057,miss_all_gold|extraction_gold_mismatch,발한,,발한,20,재채기; 기침; 흉통; 청색증; 사망; 호흡곤란; 복벽이 움푹 들어감; 가래; 경정맥 확장; 객혈; 흉수; 압통; 부정맥; 검은색 가래; 감기 증상; 곤봉지; 흉부압박감; 근력 약화; 운동 시 호흡곤란; 결막염,낮에도 땀이 줄줄 흘러서 옷이 다 젖드래요.,,있음,symptom,1,0
C,eval_058,miss_all_gold|negative_hit|extraction_gold_mismatch,피로감,열,피로감,20,열; 권태감; 온몸이 떨림; 기운없음; 운동 시 호흡곤란; 식욕부진; 방사통; 기침; 체중감소; 창백; 근긴장의 이상; 흉곽 팽윤; 흉부압박감; 감기 증상; 다발성 장기부전 증상; 화농성 객담; 사지 부종; 압통; 마찰음; 삼키기 곤란,열은 떨어졌는데 쉬어도 피곤한 건 여전해요.,,있음,symptom,1,0
C,eval_059,miss_all_gold|negative_hit|extraction_gold_mismatch,호흡곤란,가래,호흡곤란,20,검은색 가래; 가래; 거품이 섞인 가래; 화농성 객담; 기침; 체중감소; 운동 시 호흡곤란; 감기 증상; 구토; 마찰음; 가슴 답답; 결막염; 기운없음; 온몸이 떨림; 방사통; 어지러움; 탈장; 천식; 객혈; 눈이 무거운 느낌,가래는 줄었는데 숨쉬기 힘든 건 그대로예요.,,있음,symptom,1,0
C,eval_060,negative_hit|extraction_gold_mismatch,,콧물,가래,20,가래; 콧물; 검은색 가래; 거품이 섞인 가래; 기침; 결막염; 코막힘; 화농성 객담; 운동 시 호흡곤란; 감기 증상; 체중감소; 구토; 객혈; 재채기; 근육통; 열; 오한; 어지러움; 창백; 박동성 통증,콧물은 멎었는데 가래가 상구 끓어요.,,있음,symptom,1,0
C,eval_061,miss_all_gold|extraction_gold_mismatch,근육통,,근육통,20,발한; 피부홍조; 불안; 코막힘; 재채기; 운동 시 호흡곤란; 사망; 천식; 거품이 섞인 가래; 흉곽 팽윤; 기침; 검은색 가래; 눈꼽; 권태감; 콧물; 질식; 결막염; 식욕부진; 가래; 구토,삭신이 쑤시고 결려서 꼼짝을 못 하겠드래요.,,있음,symptom,1,0
C,eval_065,miss_all_gold|extraction_gold_mismatch,흉통,,흉통,20,함몰가슴; 가슴 답답; 가슴 두근거림; 청색증; 삼키기 곤란; 재채기; 호기의 증가; 반복되는 폐렴; 거품이 섞인 가래; 기침; 구토; 검은색 가래; 천식; 가래; 복벽이 움푹 들어감; 창백; 사지 부종; 설사; 눈꼽; 의식 변화,전엔 없던 가슴 결림이 새로 생겼어요.,,있음,symptom,1,0
C,eval_066,miss_all_gold|extraction_gold_mismatch,하지부종,,하지부종,20,복벽이 움푹 들어감; 가래; 콧물; 탈장; 운동 시 호흡곤란; 부정맥; 곤봉지; 객혈; 말초부종; 검은색 가래; 결막염; 기침; 발한; 구토; 피부홍조; 경정맥 확장; 가슴 답답; 근긴장의 이상; 불안; 서맥,다리가 퉁퉁 부어서 신발이 안 들어가요.,,있음,symptom,1,0
C,eval_069,miss_all_gold|extraction_gold_mismatch,피로감,,피로감,20,검은색 가래; 탈장; 운동 시 호흡곤란; 권태감; 기침; 감기 증상; 코막힘; 가래; 온몸이 떨림; 열; 콧물; 사래걸림; 흉부압박감; 창백; 복부팽만감; 피부홍조; 근긴장의 이상; 함몰가슴; 발한; 재채기,쉬어도 피곤하고 자꾸 처져요.,,있음,symptom,1,0
C,eval_070,miss_all_gold|extraction_gold_mismatch,두통,,두통,20,콧물; 가슴 답답; 결막염; 의식 저하; 복벽이 움푹 들어감; 목의 통증; 지남력 장애; 호기의 증가; 발한; 사망; 저산소증; 피부홍조; 불안; 코막힘; 서맥; 흉통; 눈이 무거운 느낌; 곤봉지; 눈꼽; 부정맥,머리가 지끈지끈 쑤시게 아파요.,,있음,symptom,1,0
C,eval_071,negative_hit|extraction_gold_mismatch,,어지러움,기운없음,20,기운없음; 어지러움; 호흡곤란; 가래; 빈호흡; 재채기; 권태감; 호기의 증가; 감기 증상; 체중감소; 콧물; 두통; 근육통; 빈맥; 폐기능저하; 불안; 흉통; 목소리 변화; 무증상; 천식,어지럽던 건 나아졌는데 안주 기운이 없어요.,,있음,symptom,1,0
C,eval_073,miss_all_gold|extraction_gold_mismatch,하지부종,,하지부종,20,탈장; 감기 증상; 부정맥; 호기의 증가; 가래; 천식; 청색증; 콧물; 무증상; 경정맥 확장; 재채기; 근긴장의 이상; 함몰가슴; 운동 시 호흡곤란; 빈호흡; 사래걸림; 호흡기감염; 눈이 무거운 느낌; 기침; 결막염,전엔 없던 다리 부기가 상구 빠지질 않아요.,,있음,symptom,1,0
C,eval_075,negative_hit|extraction_gold_mismatch,,열,목의 통증,20,열; 코막힘; 콧물; 기운없음; 방사통; 사래걸림; 식욕부진; 어지러움; 온몸이 떨림; 빈호흡; 호흡곤란; 서맥; 흉수; 압통; 근긴장의 이상; 체중감소; 폐기능저하; 목의 통증; 근육통; 복부팽만감,열은 없는데 목이 부어서 너무 아파요.,,있음,symptom,1,0
C,eval_076,partial_miss|extraction_gold_mismatch,오한,,오한; 온몸이 떨림,20,온몸이 떨림; 가슴 답답; 천명음; 반복되는 폐렴; 천식; 감기 증상; 가래; 운동 시 호흡곤란; 구토; 기침; 체중감소; 복벽이 움푹 들어감; 콧물; 빈맥; 목소리 변화; 빈호흡; 어지러움; 저산소증; 삼키기 곤란; 검은색 가래,으슬으슬 춥고 몸이 덜덜 떨려요.,,있음,symptom,1,0
C,eval_078,miss_all_gold|extraction_gold_mismatch,피로감,,피로감,20,열; 코막힘; 압통; 창백; 뇌압상승증상; 천식; 식욕부진; 근력 약화; 방사통; 운동 시 호흡곤란; 사래걸림; 눈의 충혈; 박동성 통증; 콧물; 폐기능저하; 복벽이 움푹 들어감; 의식 저하; 객혈; 경정맥 확장; 흉수,식은땀은 멎었는데 자꾸 피곤해서 싶드래요.,,있음,symptom,1,0
C,eval_080,miss_all_gold|negative_hit|extraction_gold_mismatch,객혈,기침,객혈,20,가래; 기침; 검은색 가래; 거품이 섞인 가래; 화농성 객담; 구토; 결막염; 운동 시 호흡곤란; 천명음; 빈맥; 폐부종; 체중감소; 감기 증상; 식욕부진; 빈호흡; 가슴 답답; 콧물; 불안; 삼키기 곤란; 오한,기침은 줄었는데 가래에 피가 비쳐서 걱정돼 여쭤요.,,있음,symptom,1,0
C,eval_088,negative_hit|extraction_gold_mismatch,,기침,가래,20,가래; 검은색 가래; 기침; 거품이 섞인 가래; 화농성 객담; 천명음; 감기 증상; 구토; 운동 시 호흡곤란; 객혈; 결막염; 가슴 답답; 빈맥; 빈호흡; 식욕부진; 삼키기 곤란; 호흡곤란; 폐부종; 불안; 권태감,기침은 안 나는데 가래만 자꾸 나와요.,,있음,symptom,1,0
C,eval_089,negative_hit|extraction_gold_mismatch,,기침,천명음,20,기침; 목소리 변화; 천명음; 가슴 답답; 가래; 결막염; 검은색 가래; 흉통; 코막힘; 감기 증상; 운동 시 호흡곤란; 빈호흡; 화농성 객담; 호흡곤란; 삼키기 곤란; 콧물; 빈맥; 구토; 체중감소; 불안,기침은 잦아들었는데 숨 쉴때 쌕쌕 소리는 계속 나요.,,있음,symptom,1,0
C,eval_093,miss_all_gold|extraction_gold_mismatch,삼키기 곤란,,삼키기 곤란,20,질식; 가슴 답답; 흉통; 복벽이 움푹 들어감; 가래; 객혈; 천식; 식욕부진; 피로감; 코막힘; 거품이 섞인 가래; 탈장; 콧물; 의식 저하; 심부전; 사래걸림; 인지장애; 어지러움; 하지부종; 흉수,음식이 목에 걸린 것처럼 잘 안 넘어가요.,,있음,symptom,1,0
C,eval_094,negative_hit|extraction_gold_mismatch,,기침,화농성 객담,20,가래; 검은색 가래; 기침; 거품이 섞인 가래; 구토; 화농성 객담; 운동 시 호흡곤란; 결막염; 오한; 빈맥; 천명음; 체중감소; 빈호흡; 가슴 답답; 두통; 감기 증상; 폐부종; 식욕부진; 호흡곤란; 삼키기 곤란,기침은 나아가는데 누런 가래가 새로 나와서 .,,있음,symptom,1,0
C,eval_097,miss_all_gold|negative_hit|extraction_gold_mismatch,두통,열,두통,20,열; 가슴 답답; 온몸이 떨림; 방사통; 가슴 두근거림; 무증상; 사래걸림; 기운없음; 눈의 충혈; 발한; 지남력 장애; 피부홍조; 목의 통증; 불안; 어지러움; 곤봉지; 창백; 탈장; 의식 저하; 화농성 객담,열은 떨어졌는데 머리 지끈거리는 건 안주 그대로예요.,,있음,symptom,1,0
C,eval_099,miss_all_gold|extraction_gold_mismatch,창백,,창백,20,구토; 콧물; 검은색 가래; 가슴 답답; 눈꼽; 호기의 증가; 감기 증상; 빈맥; 어지러움; 흉곽 팽윤; 기운없음; 천식; 마찰음; 탈장; 재채기; 열; 흉통; 빈호흡; 가래; 눈의 충혈,주변에서 얼굴이 핼쑥하고 핏기가 없어 보인대요.,,있음,symptom,1,0
C,eval_100,partial_miss|extraction_gold_mismatch,구토,,구토; 체중감소,20,체중감소; 코막힘; 복벽이 움푹 들어감; 하지부종; 화농성 객담; 결막염; 의식 저하; 폐기능저하; 어지러움; 압통; 근력 약화; 경정맥 확장; 탈장; 지남력 장애; 검은색 가래; 사지 부종; 사래걸림; 의식 변화; 재채기; 창백,자꾸 토해서 그런지 살이 빠지드래요.,,있음,symptom,1,0
